,Methods,Cell Type,F1
130,singler,mast cell,0
131,seurat,myeloid cell,0.853503184713376
132,seurat,alveolar macrophage,0.940275650842266
133,seurat,B cell,0.995098039215686
134,seurat,natural killer cell,0.983384615384615
135,seurat,T cell,0.975409836065574
136,seurat,lung endothelial cell,0.977198697068404
137,seurat,stromal cell,0.990029325513196
138,seurat,non-classical monocyte,0.92
139,seurat,leukocyte,0.824324324324324
140,seurat,classical monocyte,0.888888888888889
141,seurat,ciliated columnar cell of tracheobronchial tree,0.979166666666667
142,seurat,type II pneumocyte,0.971098265895954
143,seurat,mast cell,0
